中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
144.24.80.56,443,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Tokyo,隧道,122 ms,0 Mbps,45 kB/s
154.211.8.77,443,0.0.0.0,CN,San Jose,官方,169 ms,null Mbps,null kB/s
154.211.8.93,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
154.211.8.83,443,0.0.0.0,CN,San Jose,官方,170 ms,null Mbps,null kB/s
154.211.8.60,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
154.211.8.88,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
154.211.8.69,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
154.211.8.84,443,0.0.0.0,CN,San Jose,官方,144 ms,null Mbps,null kB/s
154.211.8.73,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
154.211.8.85,443,0.0.0.0,CN,San Jose,官方,164 ms,null Mbps,null kB/s
154.211.8.78,443,0.0.0.0,CN,San Jose,官方,174 ms,null Mbps,null kB/s
154.211.8.94,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
154.211.8.64,443,0.0.0.0,CN,San Jose,官方,184 ms,null Mbps,null kB/s
154.211.8.104,443,0.0.0.0,CN,San Jose,官方,166 ms,null Mbps,null kB/s
154.211.8.79,443,0.0.0.0,CN,San Jose,官方,1188 ms,null Mbps,null kB/s
129.151.221.152,443,129.151.221.152,SE,,中转,244 ms,37 Mbps,4804 kB/s
154.211.8.86,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
154.211.8.101,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
154.211.8.95,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
154.211.8.103,443,0.0.0.0,CN,San Jose,官方,150 ms,null Mbps,null kB/s
154.211.8.117,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
154.211.8.89,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
154.211.8.106,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
154.211.8.107,443,0.0.0.0,CN,San Jose,官方,151 ms,null Mbps,null kB/s
154.211.8.102,443,0.0.0.0,CN,San Jose,官方,164 ms,null Mbps,null kB/s
154.211.8.98,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
154.211.8.90,443,0.0.0.0,CN,San Jose,官方,167 ms,null Mbps,null kB/s
154.211.8.87,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
154.211.8.115,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
154.211.8.109,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
154.211.8.97,443,0.0.0.0,CN,San Jose,官方,150 ms,null Mbps,null kB/s
154.211.8.113,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
154.211.8.96,443,0.0.0.0,CN,San Jose,官方,1177 ms,null Mbps,null kB/s
154.211.8.110,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
154.211.8.112,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
154.211.8.111,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
154.211.8.38,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
154.211.8.100,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
154.211.8.119,443,0.0.0.0,CN,San Jose,官方,181 ms,null Mbps,null kB/s
154.211.8.105,443,0.0.0.0,CN,San Jose,官方,167 ms,null Mbps,null kB/s
154.211.8.125,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
154.211.8.127,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
158.180.68.56,443,158.180.68.56,KR,San Jose,中转,145 ms,5 Mbps,727 kB/s
154.211.8.121,443,0.0.0.0,CN,San Jose,官方,149 ms,null Mbps,null kB/s
154.211.8.123,443,0.0.0.0,CN,San Jose,官方,146 ms,null Mbps,null kB/s
154.211.8.124,443,0.0.0.0,CN,San Jose,官方,151 ms,null Mbps,null kB/s
154.211.8.118,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
154.211.8.122,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
154.211.8.67,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
154.211.8.114,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
154.211.8.99,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
154.211.8.130,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
154.211.8.126,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
18.130.168.34,443,18.130.168.34,GB,,中转,171 ms,87 Mbps,11161 kB/s
154.211.8.108,443,0.0.0.0,CN,San Jose,官方,151 ms,null Mbps,null kB/s
154.211.8.144,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
154.211.8.128,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
154.211.8.133,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,199 ms,67 Mbps,8646 kB/s
154.211.8.135,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
154.211.8.134,443,0.0.0.0,CN,San Jose,官方,166 ms,null Mbps,null kB/s
154.211.8.132,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
154.211.8.136,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
154.211.8.92,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
154.211.8.138,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
154.211.8.139,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
154.211.8.143,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
154.211.8.131,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
154.211.8.145,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
154.211.8.161,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
154.211.8.140,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
154.211.8.162,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
154.211.8.120,443,0.0.0.0,CN,San Jose,官方,1146 ms,null Mbps,null kB/s
154.211.8.149,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
154.211.8.154,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
154.211.8.147,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
154.211.8.152,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
154.211.8.153,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
154.211.8.150,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
154.211.8.151,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
154.211.8.163,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
154.211.8.146,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
154.211.8.168,443,0.0.0.0,CN,San Jose,官方,167 ms,null Mbps,null kB/s
154.211.8.155,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
154.211.8.172,443,0.0.0.0,CN,San Jose,官方,146 ms,null Mbps,null kB/s
154.211.8.158,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
154.211.8.175,443,0.0.0.0,CN,San Jose,官方,168 ms,null Mbps,null kB/s
154.211.8.165,443,0.0.0.0,CN,San Jose,官方,176 ms,null Mbps,null kB/s
154.211.8.159,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
154.211.8.164,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
154.211.8.167,443,0.0.0.0,CN,San Jose,官方,181 ms,null Mbps,null kB/s
154.211.8.169,443,0.0.0.0,CN,San Jose,官方,150 ms,null Mbps,null kB/s
154.211.8.141,443,0.0.0.0,CN,San Jose,官方,185 ms,null Mbps,null kB/s
154.211.8.160,443,0.0.0.0,CN,San Jose,官方,148 ms,null Mbps,null kB/s
154.211.8.179,443,0.0.0.0,CN,San Jose,官方,144 ms,null Mbps,null kB/s
154.211.8.157,443,0.0.0.0,CN,San Jose,官方,151 ms,null Mbps,null kB/s
154.211.8.176,443,0.0.0.0,CN,San Jose,官方,172 ms,null Mbps,null kB/s
154.211.8.183,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
154.211.8.91,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
154.211.8.186,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
154.211.8.137,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
154.211.8.174,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
154.211.8.171,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
154.211.8.190,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
154.211.8.129,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
154.211.8.184,443,0.0.0.0,CN,San Jose,官方,179 ms,null Mbps,null kB/s
